date,slice_label,OT
1641448680575 ,1,0.6140517
1641448680585 ,1,0.613657355
1641448680595 ,1,0.546871364
1641448680605 ,1,0.552118361
1641448680615 ,1,0.575149775
1641448680625 ,1,0.595082641
1641448680635 ,1,0.592807174
1641448680645 ,1,0.564232528
1641448680655 ,1,0.545250356
1641448680665 ,1,0.527663946
1641448680675 ,1,0.535216272
1641448680685 ,1,0.551926374
1641448680695 ,1,0.569716692
1641448680705 ,1,0.591579854
1641448680715 ,1,0.542231739
1641448680725 ,1,0.530561209
1641448680735 ,1,0.537549794
1641448680745 ,1,0.553117275
1641448680755 ,1,0.583078325
1641448680765 ,1,0.576036453
1641448680775 ,1,0.565952778
1641448680785 ,1,0.533106267
1641448680795 ,1,0.531868577
1641448680805 ,1,0.576312423
1641448680815 ,1,0.577438056
1641448680825 ,1,0.574555278
1641448680835 ,1,0.55760318
1641448680845 ,1,0.523327649
1641448680855 ,1,0.535054684
1641448680865 ,1,0.541851759
1641448680875 ,1,0.601756692
1641448680885 ,1,0.579917371
1641448680895 ,1,0.576213837
1641448680905 ,1,0.540414989
1641448680915 ,1,0.537472785
1641448680925 ,1,0.548839331
1641448680935 ,1,0.58124876
1641448680945 ,1,0.598320186
1641448680955 ,1,0.560220778
1641448680965 ,1,0.555722713
1641448680975 ,1,0.545011699
1641448680985 ,1,0.546791136
1641448680995 ,1,0.572427332
1641448681005 ,1,0.58299154
1641448681015 ,1,0.581681371
1641448681025 ,1,0.549670875
1641448681035 ,1,0.565773606
1641448681045 ,1,0.538965523
1641448681055 ,1,0.530893385
1641448681065 ,1,0.585316539
1641448681075 ,1,0.589252293
1641448681085 ,1,0.576277614
1641448681095 ,1,0.529629529
1641448681105 ,1,0.542167842
1641448681115 ,1,0.550637007
1641448681125 ,1,0.559305727
1641448681135 ,1,0.635168672
1641448681145 ,1,0.597855508
1641448681155 ,1,0.817864418
1641448681165 ,1,0.599730313
1641448681175 ,1,0.844751954
1641448681185 ,1,0.600020051
1641448681195 ,1,0.823363006
1641448681205 ,1,0.620604873
1641448681215 ,1,0.756962061
1641448681225 ,1,0.679487228
1641448681235 ,1,0.657158256
1641448681245 ,1,0.840786994
1641448681255 ,1,0.681719959
1641448681265 ,1,0.857236624
1641448681275 ,1,0.657082975
1641448681285 ,1,0.866692901
1641448681295 ,1,0.607872605
1641448681305 ,1,0.759429336
1641448681315 ,1,0.673133254
1641448681325 ,1,0.748771429
1641448681335 ,1,0.76480788
1641448681345 ,1,0.698519826
1641448681355 ,1,0.801181734
1641448681365 ,1,0.660447419
1641448681375 ,1,0.749220252
1641448681385 ,1,0.640748918
1641448681395 ,1,0.785175979
1641448681405 ,1,0.622290373
1641448681415 ,1,0.800632358
1641448681425 ,1,0.672533214
1641448681435 ,1,0.789245307
1641448681445 ,1,0.704416633
1641448681455 ,1,0.795966268
1641448681465 ,1,0.768226326
1641448681475 ,1,0.730892301
1641448681485 ,1,0.737183034
1641448681495 ,1,0.679416597
1641448681505 ,1,0.768075407
1641448681515 ,1,0.612778902
1641448681525 ,1,0.856111526
1641448681535 ,1,0.658087969
1641448681545 ,1,0.865987599
1641448681555 ,1,0.689527273
1641448681565 ,1,0.825365067
1641448681575 ,1,0.727851927
1641448681585 ,1,0.711266756
1641448681595 ,1,0.712129176
1641448681605 ,1,0.68289876
1641448681615 ,1,0.795490265
1641448681625 ,1,0.681534231
1641448681635 ,1,0.834667861
1641448681645 ,1,0.671624303
1641448681655 ,1,0.808454275
1641448681665 ,1,0.623167276
1641448681675 ,1,0.756029189
1641448681685 ,1,0.685727477
1641448681695 ,1,0.746916533
1641448681705 ,1,0.754759014
1641448681715 ,1,0.730665624
