date,slice_label,OT
2000-1-1 00:00.0,1,0.6140517
2000-1-1 00:00.0,1,0.613657355
2000-1-1 00:00.0,1,0.546871364
2000-1-1 00:00.0,1,0.552118361
2000-1-1 00:00.0,1,0.575149775
2000-1-1 00:00.0,1,0.595082641
2000-1-1 00:00.0,1,0.592807174
2000-1-1 00:00.0,1,0.564232528
2000-1-1 00:00.0,1,0.545250356
2000-1-1 00:00.0,1,0.527663946
2000-1-1 00:00.0,1,0.535216272
2000-1-1 00:00.0,1,0.551926374
2000-1-1 00:00.0,1,0.569716692
2000-1-1 00:00.0,1,0.591579854
2000-1-1 00:00.0,1,0.542231739
2000-1-1 00:00.0,1,0.530561209
2000-1-1 00:00.0,1,0.537549794
2000-1-1 00:00.0,1,0.553117275
2000-1-1 00:00.0,1,0.583078325
2000-1-1 00:00.0,1,0.576036453
2000-1-1 00:00.0,1,0.565952778
2000-1-1 00:00.0,1,0.533106267
2000-1-1 00:00.0,1,0.531868577
2000-1-1 00:00.0,1,0.576312423
2000-1-1 00:00.0,1,0.577438056
2000-1-1 00:00.0,1,0.574555278
2000-1-1 00:00.0,1,0.55760318
2000-1-1 00:00.0,1,0.523327649
2000-1-1 00:00.0,1,0.535054684
2000-1-1 00:00.0,1,0.541851759
2000-1-1 00:00.0,1,0.601756692
2000-1-1 00:00.0,1,0.579917371
2000-1-1 00:00.0,1,0.576213837
2000-1-1 00:00.0,1,0.540414989
2000-1-1 00:00.0,1,0.537472785
2000-1-1 00:00.0,1,0.548839331
2000-1-1 00:00.0,1,0.58124876
2000-1-1 00:00.0,1,0.598320186
2000-1-1 00:00.0,1,0.560220778
2000-1-1 00:00.0,1,0.555722713
2000-1-1 00:00.0,1,0.545011699
2000-1-1 00:00.0,1,0.546791136
2000-1-1 00:00.0,1,0.572427332
2000-1-1 00:00.0,1,0.58299154
2000-1-1 00:00.0,1,0.581681371
2000-1-1 00:00.0,1,0.549670875
2000-1-1 00:00.0,1,0.565773606
2000-1-1 00:00.0,1,0.538965523
2000-1-1 00:00.0,1,0.530893385
2000-1-1 00:00.0,1,0.585316539
2000-1-1 00:00.0,1,0.589252293
2000-1-1 00:00.0,1,0.576277614
2000-1-1 00:00.0,1,0.529629529
2000-1-1 00:00.0,1,0.542167842
2000-1-1 00:00.0,1,0.550637007
2000-1-1 00:00.0,1,0.559305727
2000-1-1 00:00.0,1,0.635168672
2000-1-1 00:00.0,1,0.597855508
2000-1-1 00:00.0,1,0.817864418
2000-1-1 00:00.0,1,0.599730313
2000-1-1 00:00.0,1,0.844751954
2000-1-1 00:00.0,1,0.600020051
2000-1-1 00:00.0,1,0.823363006
2000-1-1 00:00.0,1,0.620604873
2000-1-1 00:00.0,1,0.756962061
2000-1-1 00:00.0,1,0.679487228
2000-1-1 00:00.0,1,0.657158256
2000-1-1 00:00.0,1,0.840786994
2000-1-1 00:00.0,1,0.681719959
2000-1-1 00:00.0,1,0.857236624
2000-1-1 00:00.0,1,0.657082975
2000-1-1 00:00.0,1,0.866692901
2000-1-1 00:00.0,1,0.607872605
2000-1-1 00:00.0,1,0.759429336
2000-1-1 00:00.0,1,0.673133254
2000-1-1 00:00.0,1,0.748771429
2000-1-1 00:00.0,1,0.76480788
2000-1-1 00:00.0,1,0.698519826
2000-1-1 00:00.0,1,0.801181734
2000-1-1 00:00.0,1,0.660447419
2000-1-1 00:00.0,1,0.749220252
2000-1-1 00:00.0,1,0.640748918
2000-1-1 00:00.0,1,0.785175979
2000-1-1 00:00.0,1,0.622290373
2000-1-1 00:00.0,1,0.800632358
2000-1-1 00:00.0,1,0.672533214
2000-1-1 00:00.0,1,0.789245307
2000-1-1 00:00.0,1,0.704416633
2000-1-1 00:00.0,1,0.795966268
2000-1-1 00:00.0,1,0.768226326
2000-1-1 00:00.0,1,0.730892301
2000-1-1 00:00.0,1,0.737183034
2000-1-1 00:00.0,1,0.679416597
2000-1-1 00:00.0,1,0.768075407
2000-1-1 00:00.0,1,0.612778902
2000-1-1 00:00.0,1,0.856111526
2000-1-1 00:00.0,1,0.658087969
2000-1-1 00:00.0,1,0.865987599
2000-1-1 00:00.0,1,0.689527273
2000-1-1 00:00.0,1,0.825365067
2000-1-1 00:00.0,1,0.727851927
2000-1-1 00:00.0,1,0.711266756
2000-1-1 00:00.0,1,0.712129176
2000-1-1 00:00.0,1,0.68289876
2000-1-1 00:00.0,1,0.795490265
2000-1-1 00:00.0,1,0.681534231
2000-1-1 00:00.0,1,0.834667861
2000-1-1 00:00.0,1,0.671624303
2000-1-1 00:00.0,1,0.808454275
2000-1-1 00:00.0,1,0.623167276
2000-1-1 00:00.0,1,0.756029189
2000-1-1 00:00.0,1,0.685727477
2000-1-1 00:00.0,1,0.746916533
2000-1-1 00:00.0,1,0.754759014
2000-1-1 00:00.0,1,0.730665624
2000-1-1 00:00.0,1,0.799293578
2000-1-1 00:00.0,1,0.673574984
2000-1-1 00:00.0,1,0.78675741
2000-1-1 00:00.0,1,0.618438005
2000-1-1 00:00.0,1,0.790071368
2000-1-1 00:00.0,1,0.662072837
2000-1-1 00:00.0,1,0.852219462
2000-1-1 00:00.0,1,0.724723577
2000-1-1 00:00.0,1,0.810142279
2000-1-1 00:00.0,1,0.763675272
2000-1-1 00:00.0,1,0.811911047
2000-1-1 00:00.0,1,0.739625573
2000-1-1 00:00.0,1,0.678414047
2000-1-1 00:00.0,1,0.768057585
2000-1-1 00:00.0,1,0.611275196
2000-1-1 00:00.0,1,0.817411602
2000-1-1 00:00.0,1,0.674237669
2000-1-1 00:00.0,1,0.885908604
2000-1-1 00:00.0,1,0.650233626
2000-1-1 00:00.0,1,0.803932965
2000-1-1 00:00.0,1,0.654402852
2000-1-1 00:00.0,1,0.725203514
2000-1-1 00:00.0,1,0.68378824
2000-1-1 00:00.0,1,0.687980652
2000-1-1 00:00.0,1,0.857419431
2000-1-1 00:00.0,1,0.668306291
2000-1-1 00:00.0,1,0.832853794
2000-1-1 00:00.0,1,0.631763697
2000-1-1 00:00.0,1,0.807221532
2000-1-1 00:00.0,1,0.601938426
2000-1-1 00:00.0,1,0.81070298
2000-1-1 00:00.0,1,0.708935857
2000-1-1 00:00.0,1,0.734954894
2000-1-1 00:00.0,1,0.720403194
2000-1-1 00:00.0,1,0.754035532
2000-1-1 00:00.0,1,0.798125446
2000-1-1 00:00.0,1,0.703767061
2000-1-1 00:00.0,1,0.866094053
2000-1-1 00:00.0,1,0.678586423
2000-1-1 00:00.0,1,0.804228127
2000-1-1 00:00.0,1,0.589415908
2000-1-1 00:00.0,1,0.805075943
2000-1-1 00:00.0,1,0.696852624
2000-1-1 00:00.0,1,0.774288237
2000-1-1 00:00.0,1,0.770964265
2000-1-1 00:00.0,1,0.804655731
2000-1-1 00:00.0,1,0.727130413
2000-1-1 00:00.0,1,0.701340377
2000-1-1 00:00.0,1,0.773825407
2000-1-1 00:00.0,1,0.656797945
2000-1-1 00:00.0,1,0.773495674
2000-1-1 00:00.0,1,0.704540133
2000-1-1 00:00.0,1,0.825976729
2000-1-1 00:00.0,1,0.65050745
2000-1-1 00:00.0,1,0.728751481
2000-1-1 00:00.0,1,0.638508856
2000-1-1 00:00.0,1,0.682286739
2000-1-1 00:00.0,1,0.635570347
2000-1-1 00:00.0,1,0.665025711
2000-1-1 00:00.0,1,0.660656631
2000-1-1 00:00.0,1,0.664467335
2000-1-1 00:00.0,1,0.642685413
2000-1-1 00:00.0,1,0.613419831
2000-1-1 00:00.0,1,0.573355019
2000-1-1 00:00.0,1,0.536810517
2000-1-1 00:00.0,1,0.604529738
2000-1-1 00:00.0,1,0.58381325
2000-1-1 00:00.0,1,0.601696312
2000-1-1 00:00.0,1,0.543746173
2000-1-1 00:00.0,1,0.542871892
2000-1-1 00:00.0,1,0.536379635
2000-1-1 00:00.0,1,0.537355959
2000-1-1 00:00.0,1,0.608500719
2000-1-1 00:00.0,1,0.577261567
2000-1-1 00:00.0,1,0.559654057
2000-1-1 00:00.0,1,0.526975572
2000-1-1 00:00.0,1,0.534990788
2000-1-1 00:00.0,1,0.556717336
2000-1-1 00:00.0,1,0.5401178
2000-1-1 00:00.0,1,0.598529041
2000-1-1 00:00.0,1,0.572062731
2000-1-1 00:00.0,1,0.544044077
2000-1-1 00:00.0,1,0.515120029
2000-1-1 00:00.0,1,0.529968262
2000-1-1 00:00.0,1,0.583589435
2000-1-1 00:00.0,1,0.560061932
2000-1-1 00:00.0,1,0.600517631
2000-1-1 00:00.0,1,0.581840158
2000-1-1 00:00.0,1,0.559522927
2000-1-1 00:00.0,1,0.53799963
2000-1-1 00:00.0,1,0.526562452
2000-1-1 00:00.0,1,0.588221312
2000-1-1 00:00.0,1,0.575029731
2000-1-1 00:00.0,1,0.610406399
2000-1-1 00:00.0,1,0.585261345
2000-1-1 00:00.0,1,0.581082165
2000-1-1 00:00.0,1,0.547423959
2000-1-1 00:00.0,1,0.570549846
2000-1-1 00:00.0,1,0.68711704
2000-1-1 00:00.0,1,0.725013971
2000-1-1 00:00.0,1,0.9868958
2000-1-1 00:00.0,1,0.967197001
2000-1-1 00:00.0,1,1.251279473
2000-1-1 00:00.0,1,1.229724765
2000-1-1 00:00.0,1,1.37417376
2000-1-1 00:00.0,1,1.482159734
2000-1-1 00:00.0,1,1.447036266
2000-1-1 00:00.0,1,1.430101633
2000-1-1 00:00.0,1,1.380226731
2000-1-1 00:00.0,1,1.365507603
2000-1-1 00:00.0,1,1.248771071
2000-1-1 00:00.0,1,1.327995062
2000-1-1 00:00.0,1,1.278593421
2000-1-1 00:00.0,1,1.281502843
2000-1-1 00:00.0,1,1.262313128
2000-1-1 00:00.0,1,1.30442667
2000-1-1 00:00.0,1,1.271420836
2000-1-1 00:00.0,1,1.263162732
2000-1-1 00:00.0,1,1.260824203
2000-1-1 00:00.0,1,1.332059026
2000-1-1 00:00.0,1,1.263161421
2000-1-1 00:00.0,1,1.32926631
2000-1-1 00:00.0,1,1.335860968
2000-1-1 00:00.0,1,1.40349257
2000-1-1 00:00.0,1,1.354307294
2000-1-1 00:00.0,1,1.346469045
2000-1-1 00:00.0,1,1.334598899
2000-1-1 00:00.0,1,1.235703349
2000-1-1 00:00.0,1,1.250440478
2000-1-1 00:00.0,1,1.314339042
2000-1-1 00:00.0,1,1.390073895
2000-1-1 00:00.0,1,1.315833449
2000-1-1 00:00.0,1,1.34379673
2000-1-1 00:00.0,1,1.370222569
2000-1-1 00:00.0,1,1.347765923
2000-1-1 00:00.0,1,1.289090395
2000-1-1 00:00.0,1,1.287952065
2000-1-1 00:00.0,1,1.259844303
2000-1-1 00:00.0,1,1.222966313
2000-1-1 00:00.0,1,1.267775416
2000-1-1 00:00.0,1,1.308439493
2000-1-1 00:00.0,1,1.373915434
2000-1-1 00:00.0,1,1.308884859
2000-1-1 00:00.0,1,1.390556097
2000-1-1 00:00.0,1,1.326299191
2000-1-1 00:00.0,1,1.300077081
2000-1-1 00:00.0,1,1.226404905
2000-1-1 00:00.0,1,1.240314007
2000-1-1 00:00.0,1,1.257547855
2000-1-1 00:00.0,1,1.209833622
2000-1-1 00:00.0,1,1.268646955
2000-1-1 00:00.0,1,1.295097828
2000-1-1 00:00.0,1,1.34122014
2000-1-1 00:00.0,1,1.31517446
2000-1-1 00:00.0,1,1.315251946
2000-1-1 00:00.0,1,1.220338225
2000-1-1 00:00.0,1,1.201992393
2000-1-1 00:00.0,1,1.291671991
2000-1-1 00:00.0,1,1.311420441
2000-1-1 00:00.0,1,1.34513998
2000-1-1 00:00.0,1,1.243388534
2000-1-1 00:00.0,1,1.219545364
2000-1-1 00:00.0,1,1.216261029
2000-1-1 00:00.0,1,1.204025507
2000-1-1 00:00.0,1,1.288670063
2000-1-1 00:00.0,1,1.306256771
2000-1-1 00:00.0,1,1.344536543
2000-1-1 00:00.0,1,1.305667639
2000-1-1 00:00.0,1,1.293937564
2000-1-1 00:00.0,1,1.260257363
2000-1-1 00:00.0,1,1.173589587
2000-1-1 00:00.0,1,1.218484521
2000-1-1 00:00.0,1,1.241608262
2000-1-1 00:00.0,1,1.280535698
2000-1-1 00:00.0,1,1.283782601
2000-1-1 00:00.0,1,1.310341597
2000-1-1 00:00.0,1,1.31780982
2000-1-1 00:00.0,1,1.27932775
2000-1-1 00:00.0,1,1.283260465
2000-1-1 00:00.0,1,1.198523641
2000-1-1 00:00.0,1,1.215315104
2000-1-1 00:00.0,1,1.190756559
2000-1-1 00:00.0,1,1.206481338
2000-1-1 00:00.0,1,1.252929807
2000-1-1 00:00.0,1,1.276311874
2000-1-1 00:00.0,1,1.301472545
2000-1-1 00:00.0,1,1.306683064
2000-1-1 00:00.0,1,1.265360355
2000-1-1 00:00.0,1,1.288772464
2000-1-1 00:00.0,1,1.273616552
2000-1-1 00:00.0,1,1.253400803
2000-1-1 00:00.0,1,1.202642798
2000-1-1 00:00.0,1,1.226029277
2000-1-1 00:00.0,1,1.184477925
2000-1-1 00:00.0,1,1.214240909
2000-1-1 00:00.0,1,1.221353292
2000-1-1 00:00.0,1,1.257500172
2000-1-1 00:00.0,1,1.298949599
2000-1-1 00:00.0,1,1.247143745
2000-1-1 00:00.0,1,1.257704735
2000-1-1 00:00.0,1,1.223193169
2000-1-1 00:00.0,1,1.195864081
2000-1-1 00:00.0,1,1.156584978
2000-1-1 00:00.0,1,1.188700914
2000-1-1 00:00.0,1,1.193295598
2000-1-1 00:00.0,1,1.142247319
2000-1-1 00:00.0,1,1.201300383
2000-1-1 00:00.0,1,1.254819751
2000-1-1 00:00.0,1,1.287768841
2000-1-1 00:00.0,1,1.271494508
2000-1-1 00:00.0,1,1.248645067
2000-1-1 00:00.0,1,1.247029424
2000-1-1 00:00.0,1,1.144596815
2000-1-1 00:00.0,1,1.192851663
2000-1-1 00:00.0,1,1.11841166
2000-1-1 00:00.0,1,0.836084187
2000-1-1 00:00.0,1,0.789554238
2000-1-1 00:00.0,1,0.755416751
2000-1-1 00:00.0,1,0.670413673
2000-1-1 00:00.0,1,0.616698086
2000-1-1 00:00.0,1,0.616921008
2000-1-1 00:00.0,1,0.620514512
2000-1-1 00:00.0,1,0.641945601
2000-1-1 00:00.0,1,0.612575233
2000-1-1 00:00.0,1,0.629909754
2000-1-1 00:00.0,1,0.734140396
2000-1-1 00:00.0,1,0.805310309
2000-1-1 00:00.0,1,0.852890193
2000-1-1 00:00.0,1,1.026521802
2000-1-1 00:00.0,1,1.076635361
2000-1-1 00:00.0,1,1.129604578
2000-1-1 00:00.0,1,1.160268784
2000-1-1 00:00.0,1,1.240431905
2000-1-1 00:00.0,1,1.243454099
2000-1-1 00:00.0,1,1.177644134
2000-1-1 00:00.0,1,1.226877689
2000-1-1 00:00.0,1,1.199559569
2000-1-1 00:00.0,1,1.177518487
2000-1-1 00:00.0,1,1.18706584
2000-1-1 00:00.0,1,1.203929186
2000-1-1 00:00.0,1,1.104973316
2000-1-1 00:00.0,1,1.024004459
2000-1-1 00:00.0,1,1.049950838
2000-1-1 00:00.0,1,1.024249792
2000-1-1 00:00.0,1,1.082700849
2000-1-1 00:00.0,1,1.069277167
2000-1-1 00:00.0,1,1.09482491
2000-1-1 00:00.0,1,1.037544727
2000-1-1 00:00.0,1,0.980628014
2000-1-1 00:00.0,1,1.036612511
2000-1-1 00:00.0,1,1.002341986
2000-1-1 00:00.0,1,1.060653448
2000-1-1 00:00.0,1,1.062316298
2000-1-1 00:00.0,1,1.151619434
2000-1-1 00:00.0,1,1.122362494
